question,answer,explanation,chapter
"If an applicant files an amendment after Notice of Allowance without an RCE, the examiner has discretion to enter the amendment if it doesn't require additional searching or examination.",True,"Per 37 CFR § 1.312 and MPEP 714.16, examiners may enter amendments after allowance that do not require additional search or examination, though substantive amendments typically require an RCE.",0700 - Examination of Applications
"Under the AIA, a foreign patent application properly claimed as priority can be used as prior art under 35 USC § 102(a)(2) as of its foreign filing date.",True,"Per 35 USC § 102(d) and MPEP 2154.01(a), a U.S. patent document is prior art under 102(a)(2) as of the filing date of the earliest application to which it is entitled, including foreign priority applications.",2100 - Patentability
A patent that has been disclaimed by its owner cannot be used as prior art under 35 USC § 102(a)(2).,False,"Per MPEP 2154.02(c), the disclaimer of a patent does not affect its availability as prior art under 102(a)(2); the patent remains available as of its earliest effective filing date.",2100 - Patentability
"A published foreign patent application can serve as prior art under 35 USC § 102(a)(1) as of its publication date, regardless of its filing date.",True,"Per 35 USC § 102(a)(1) and MPEP 2152.02(a), a published foreign patent application qualifies as a printed publication and is prior art as of its publication date.",2100 - Patentability
"Under the AIA, the critical date for evaluating whether an applicant's own public disclosure qualifies for the 102(b)(1)(A) exception is the effective filing date of the claimed invention.",True,"Per 35 USC § 102(b)(1)(A) and MPEP 2153.01(a), disclosures made within one year before the effective filing date by the inventor or a joint inventor can be excepted as prior art.",2100 - Patentability
"A U.S. patent that properly claims priority to a foreign application has an effective prior art date under 102(a)(2) of its U.S. filing date, not its foreign priority date.",False,"Per 35 USC § 102(d) and MPEP 2154.01(b), the effective prior art date under 102(a)(2) is the earliest priority date, including foreign priority dates.",2100 - Patentability
An inventor's own attempt to sell their invention before filing a patent application would never be considered prior art against their application under 35 USC § 102(a)(1).,False,"Per 35 USC § 102(a)(1) and MPEP 2152.02(d), a sale or offer for sale of the invention is prior art unless it falls within the 102(b)(1) exceptions, which only apply within one year before filing.",2100 - Patentability
"For a patent application filed on June 13, 2021, a disclosure published on January 12, 2020, would be prior art under 35 USC § 102(a)(1) because it was published more than one year before the filing date.",True,"Per 35 USC § 102(a)(1) and MPEP 2152.01, a disclosure published more than one year before the effective filing date is prior art and cannot be excepted under 102(b)(1).",2100 - Patentability
"When a U.S. patent application properly claims priority to a foreign application, it gets the benefit of that earlier date for prior art purposes under both 35 USC § 102(a)(1) and 102(a)(2).",False,"Per MPEP 2154.01(b), the foreign priority date is effective for prior art purposes under 102(a)(2), but the benefit does not extend to 102(a)(1), which is based on public disclosure dates.",2100 - Patentability
"A U.S. patent that properly claims priority to a foreign application filed before an applicant's filing date, but issues after the applicant's filing date, can still be prior art under 35 USC § 102(a)(2).",True,"Per 35 USC § 102(a)(2) and MPEP 2154.01(a), the relevant date for a U.S. patent as prior art is its earliest effective filing date, not its issue date.",2100 - Patentability
"If Patent A claims priority to a foreign application filed on June 23, 2020, and Patent Application B was filed on June 13, 2021, Patent A is prior art against Application B under 35 USC § 102(a)(1), not 102(a)(2).",False,"Per 35 USC § 102(a)(2) and MPEP 2154.01(a), Patent A would be prior art under 102(a)(2) based on its priority date. It would only be 102(a)(1) prior art if it was published before B's filing date.",2100 - Patentability
"According to 37 CFR § 1.121, proper amendment form requires underlining material to be added and placing parentheses around material to be deleted in claims.",False,"Per 37 CFR § 1.121(c), proper amendment form for claims requires underlining material to be added and striking through material to be deleted (or using double brackets for 5 or fewer characters).",0700 - Examination of Applications
An amendment to a claim can be made by underlining material to be added and using double brackets [[ ]] to delete five or fewer consecutive characters.,True,"Per 37 CFR § 1.121(c)(2) and MPEP 714, double brackets may be used as an alternative to strike-through when deleting five or fewer consecutive characters from a claim.",0700 - Examination of Applications
The Office can suspend prosecution of a patent application for a maximum of one year total.,False,"Per 37 CFR § 1.103 and MPEP 709, while each suspension request is limited to six months, there is no absolute maximum time limit, as additional suspension requests may be granted at the Office's discretion.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
Every patent application must contain a separate section specifically titled 'Utility' that explains the invention's usefulness.,False,"Per 37 CFR § 1.77 and MPEP 608.01(a), there is no requirement for a separate section titled 'Utility' in a patent application, though utility must be disclosed somewhere in the application.","0600 - Parts, Form, and Content of Application"
Interviews with examiners are never permitted after a Final Rejection has been issued.,False,"Per MPEP 713.09, interviews may be conducted after final rejection, though they are not a matter of right and should be directed to advancing the application to allowance.",0700 - Examination of Applications
"When an incomplete response to a non-final Office action is received, the applicant is given two months, or until the end of the original response period, whichever is longer, to complete the response.",True,"Per 37 CFR § 1.135(c) and MPEP 714.03, the Office provides this additional time to complete a bona fide but incomplete response, unless the incomplete response appears to be intentional.",0700 - Examination of Applications
A petition for suspension of action by the USPTO cannot exceed six months per request.,True,"Per 37 CFR § 1.103(a) and MPEP 709, any petition for suspension of action must specify a period not exceeding six months.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
"The proper way to delete more than five consecutive characters from a claim is by using strike-through, not double brackets.",True,"Per 37 CFR § 1.121(c)(2) and MPEP 714, strike-through must be used for deleting more than five consecutive characters; double brackets are only permitted for five or fewer characters.",1400 - Correction of Patents
An applicant who receives a notice of non-compliant amendment has no recourse but to file a completely new response.,False,"Per MPEP 714.03, applicants who receive a notice of non-compliant amendment typically have an opportunity to provide a compliant replacement amendment rather than starting over.",0700 - Examination of Applications
The USPTO may grant a suspension of action even if a reply by the applicant to an Office action is currently outstanding.,False,"Per 37 CFR § 1.103(a) and MPEP 709, the Office will not suspend action if a reply by applicant to an Office action is outstanding.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
"When amending the specification, added subject matter must be shown by underlining and deleted subject matter must be shown by strike-through.",True,"Per 37 CFR § 1.121(b) and MPEP 714, changes to the specification must be made by presenting replacement paragraphs with added text underlined and deleted text shown by strike-through.","0600 - Parts, Form, and Content of Application"
Double brackets [[ ]] can be used to delete any amount of text from a claim as long as the deletion is clearly marked.,False,"Per 37 CFR § 1.121(c)(2) and MPEP 714, double brackets may only be used to delete five or fewer consecutive characters; strike-through must be used for longer deletions.",0700 - Examination of Applications
"Under the AIA, a foreign patent application that is never filed in the United States can still serve as prior art against U.S. applications.",True,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), foreign patent publications are prior art regardless of whether they were ever filed in the U.S.",2100 - Patentability
"The effective prior art date of a foreign patent publication under AIA 35 USC § 102(a)(1) is the date it was published, not its filing date.",True,"Per AIA 35 USC § 102(a)(1), a published foreign patent document becomes prior art as of its publication date, not its filing date.",2100 - Patentability
A PCT application that never enters the U.S. national stage cannot be used as prior art against U.S. applicants.,False,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), published PCT applications are prior art regardless of whether they enter the U.S. national stage.",1800 - Patent Cooperation Treaty
"For a foreign patent application to be considered prior art under AIA 35 USC § 102(a)(1), it must be available to the public.",True,"Per AIA 35 USC § 102(a)(1), only disclosures that are 'available to the public' qualify as prior art, which typically means the application must be published.",2100 - Patentability
The filing date of a foreign application automatically becomes its effective prior art date against U.S. applications under the AIA.,False,"Per AIA 35 USC § 102(a)(1), the effective prior art date is the publication date, not the filing date, unless the application qualifies under § 102(a)(2) provisions.",2100 - Patentability
"When a PCT application claims priority to an earlier foreign application, and both are published, the earlier of the two publication dates is the effective prior art date under 35 USC § 102(a)(1).",True,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), each publication creates its own prior art effect as of its publication date.",2100 - Patentability
"Under the AIA, a foreign patent application must be in English to serve as prior art against U.S. applications.",False,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines, there is no language requirement for foreign publications to qualify as prior art; non-English publications can be prior art.",2100 - Patentability
A foreign patent application that is abandoned prior to publication cannot be used as prior art under 35 USC § 102(a)(1).,True,"Per AIA 35 USC § 102(a)(1), only disclosures 'available to the public' qualify as prior art; an abandoned application that was never published would not be available to the public.",2100 - Patentability
The AIA eliminated the requirement that a foreign reference be from a WIPO or PCT member country to qualify as prior art.,True,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), there is no requirement that foreign references come from specific countries; any published foreign patent document can be prior art.",2100 - Patentability
"When both a foreign patent application and its corresponding PCT application are published, they create two separate prior art references with potentially different effective dates.",True,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), each publication creates its own separate prior art effect as of its respective publication date.",2100 - Patentability
"Under the AIA, the geographical location where an invention was disclosed no longer affects whether that disclosure can be prior art against U.S. applications.",True,"Per AIA 35 USC § 102(a)(1) and Examination Guidelines (78 FR 11059), the AIA eliminated the previous distinction between foreign and domestic prior art.",2100 - Patentability
"If a foreign patent application publishes and later a PCT application claiming priority to it also publishes, the content disclosed in both will have different prior art dates depending on where it first appeared.",True,"Per AIA 35 USC § 102(a)(1), content that appears in both publications becomes prior art as of the earlier publication date, while any additional content in the later publication becomes prior art only as of the later date.",2100 - Patentability
"If a non-provisional application filed after March 16, 2013, claims priority to a provisional application filed before March 16, 2013, and contains subject matter not in the provisional, the applicant must file a statement identifying the claims or subject matter not supported by the provisional.",True,"Per 37 CFR § 1.78(a)(6) and MPEP § 2159.04, if an application filed on or after March 16, 2013, claims priority to a pre-AIA application but contains subject matter not supported in the earlier application, the applicant must identify this new matter.",0200 - Types and Status of Application; Benefit and Priority Claims
A non-provisional application that adds more structural detail to the same embodiment described in a priority provisional application is always considered to contain 'new matter' requiring special notification to the USPTO.,False,"Per MPEP § 2163, additional structural detail that is inherently supported by the provisional disclosure or represents conventional knowledge in the field may not constitute 'new matter' requiring special notification.","0600 - Parts, Form, and Content of Application"
"An applicant who files a non-provisional application on March 16, 2013, claiming priority to a pre-AIA provisional application must automatically submit a statement about new matter regardless of content.",False,"Per MPEP § 2159.04, the statement is only required if the non-provisional application actually contains subject matter not supported by the provisional application.",0200 - Types and Status of Application; Benefit and Priority Claims
"March 16, 2013, represents a significant date for patent applications because it marks the transition from first-to-invent to first-inventor-to-file provisions of the AIA.",True,"Per MPEP § 2159, the first-inventor-to-file provisions of the AIA apply to applications with an effective filing date on or after March 16, 2013, making this date crucial for determining which rules apply.",2100 - Patentability
"If Oscar's new structural details in the non-provisional application constitute new matter not supported by the provisional, the correct deadline to notify the USPTO is 4 months from the non-provisional filing date.",True,"Per 37 CFR § 1.78(a)(6) and MPEP § 2159.04, the notification deadline is 4 months from the actual filing date of the non-provisional application, which would be July 16, 2013, for a March 16, 2013 filing.",0200 - Types and Status of Application; Benefit and Priority Claims
A provisional application that broadly describes an invention provides sufficient support for any specific implementation details added in a later non-provisional application.,False,"Per MPEP § 2163 and § 2163.03, a provisional application must provide written description support for later-claimed features; broad descriptions may not support specific implementation details if they would not have been recognized as inherently disclosed.",2100 - Patentability
"If a non-provisional application claims priority to a provisional application filed before March 16, 2013, but contains subject matter not disclosed in the provisional, the application will be examined under the AIA (first-inventor-to-file) provisions.",True,"Per MPEP § 2159.02, if any claim has an effective filing date on or after March 16, 2013, the entire application is subject to AIA provisions, even if it claims priority to a pre-AIA application.",0200 - Types and Status of Application; Benefit and Priority Claims
An applicant who files a non-provisional application with claims containing new structural details not disclosed in the priority provisional application automatically loses the benefit of the provisional filing date for those claims.,True,"Per MPEP § 211.05 and 35 USC § 119(e), claims in a non-provisional application are only entitled to the benefit of a provisional application's filing date if they are supported by the provisional disclosure.",2100 - Patentability
"When a non-provisional application is filed after March 16, 2013, but claims priority to a pre-AIA provisional application, the applicant has until the issue fee payment to notify the USPTO if the non-provisional contains subject matter not in the provisional.",False,"Per 37 CFR § 1.78(a)(6) and MPEP § 2159.04, the deadline is 4 months from the actual filing date of the non-provisional application, not the issue fee payment date.",0200 - Types and Status of Application; Benefit and Priority Claims
Claims in a non-provisional application that add structural details to an embodiment broadly described in a provisional application are automatically entitled to the provisional filing date as long as they don't introduce a new embodiment.,False,"Per MPEP § 2163 and § 211.05, claims must be fully supported by the provisional application to receive its filing date benefit; adding structural details without adequate support in the provisional may result in a later effective filing date for those claims.",2100 - Patentability
Granting a non-exclusive license to a large entity automatically disqualifies an applicant from claiming small entity status.,True,"Per MPEP § 509.02 and 37 CFR § 1.27(a), an applicant loses small entity status when any rights are licensed, assigned, or conveyed to a party that would not qualify as a small entity (such as IBM).",0500 - Receipt and Handling of Mail and Papers
"When a small entity grants a non-exclusive license to a large entity but hasn't yet received payment, small entity status is maintained until payment is received.",False,"Per MPEP § 509.02, small entity status is lost upon the act of licensing to a large entity, regardless of whether payment has been received; the timing of payment is irrelevant.",0500 - Receipt and Handling of Mail and Papers
Small entity status is determined at the time of each fee payment and can change during the life of an application or patent.,True,"Per MPEP § 509.03 and 37 CFR § 1.27(g)(1), small entity status must be determined at the time of each fee payment, and changes in status must be reported to the USPTO.",0500 - Receipt and Handling of Mail and Papers
"If small entity status changes after a fee has been properly paid as a small entity, the USPTO requires retroactive payment of the difference for all previously paid fees.",False,"Per MPEP § 509.03 and 37 CFR § 1.28(b), fees properly paid as a small entity at a time when status was appropriate are not required to be retroactively adjusted; only future fees need be paid at the appropriate rate.",0500 - Receipt and Handling of Mail and Papers
"If an applicant grants a non-exclusive field-of-use license to a large entity, the applicant must notify the USPTO of this change in status before paying the next fee.",True,"Per MPEP § 509.03 and 37 CFR § 1.27(g)(2), an applicant must notify the USPTO of a change in status before paying subsequent fees, as continued payment at small entity rates would constitute improper payment.",0500 - Receipt and Handling of Mail and Papers
The grant of a non-exclusive license to a large entity only affects small entity status if the license covers all fields of use of the invention.,False,"Per MPEP § 509.02, any license to a large entity disqualifies small entity status, regardless of whether it's a field-of-use license or covers all fields of use.",0500 - Receipt and Handling of Mail and Papers
"If an applicant incorrectly pays fees at small entity rates after licensing to a large entity, these fees will be considered fraudulently paid.",False,"Per MPEP § 509.03 and 37 CFR § 1.28(c), improper payment of fees at small entity rates is not automatically considered fraudulent; it may be remedied by paying the deficiency plus a processing fee.",0500 - Receipt and Handling of Mail and Papers
"If a small entity grants a license to a large entity, then terminates that license before any subsequent fee payments are due, small entity status is automatically restored.",True,"Per MPEP § 509.02 and 37 CFR § 1.27, if the rights granted to a large entity are terminated before the next fee payment is due, small entity status can be claimed for that subsequent payment.",0500 - Receipt and Handling of Mail and Papers
A company with fewer than 500 employees that grants a non-exclusive license to IBM retains its small entity status for USPTO fee purposes.,False,"Per MPEP § 509.02 and 37 CFR § 1.27(a)(2), a small business loses small entity status when it licenses rights to any concern that would not qualify as a small entity, regardless of the nature of the license.",0500 - Receipt and Handling of Mail and Papers
"When an applicant grants a non-exclusive license to a large entity, the issue fee must be paid at large entity rates even if no money has been received from the licensee.",True,"Per MPEP § 509.03, fee status is determined by whether rights have been granted to a large entity, not by whether payment has been received; the issue fee must be paid at large entity rates after such a license is granted.",0500 - Receipt and Handling of Mail and Papers
The fact that a license is described as 'non-exclusive' affects how it impacts small entity status for USPTO fee purposes.,False,"Per MPEP § 509.02, whether a license is exclusive or non-exclusive does not matter for small entity status determination; any license to a large entity disqualifies small entity status.",0500 - Receipt and Handling of Mail and Papers
"If a small entity applicant grants a license to IBM but the license explicitly states it will not become effective until after patent issuance, small entity status can be maintained for paying the issue fee.",False,"Per MPEP § 509.02 and 37 CFR § 1.27, the act of entering into the license agreement (even if effectiveness is delayed) conveys rights that affect small entity status; the issue fee must be paid at large entity rates.",0500 - Receipt and Handling of Mail and Papers
The statement required when a non-provisional application contains subject matter not supported by a claimed provisional application must specifically identify which claims contain the new subject matter.,True,"Per 37 CFR § 1.78(a)(6) and MPEP § 2159.04, the statement must identify the claims or subject matter in the application that was not disclosed in the prior-filed application.",0200 - Types and Status of Application; Benefit and Priority Claims
"For applications filed during the AIA transition period, determining whether an application is subject to pre-AIA or AIA rules depends solely on the actual filing date of the application.",False,"Per MPEP § 2159.01 and § 2159.02, the determining factor is the effective filing date of any claim in the application, not the actual filing date; applications with priority claims may be subject to different rules than their actual filing date would suggest.",2100 - Patentability
A third party has no right to access an unpublished patent application under any circumstances.,False,"Per MPEP § 103 and In re Crossman, the Commissioner may provide access to an unpublished application to a third party upon a showing of special circumstances.",0400 - Representative of Applicant or Owner
"When a competitor falsely claims patent rights to intimidate customers, the affected party lacks legal standing until the competitor obtains an issued patent.",False,"Per MPEP § 103 and In re Crossman, special access can be granted precisely to address such situations; additionally, other legal remedies may exist for unfair competition or business disparagement.",0300 - Ownership and Assignment
The USPTO will automatically grant access to an unpublished application if the applicant has paid the issue fee.,False,"Per MPEP § 1.14, payment of the issue fee alone does not make an unpublished application accessible; the application remains confidential until publication or issuance.",1300 - Allowance and Issue
A petition to the Commissioner for access to an unpublished application requires a showing of special circumstances.,True,"Per MPEP § 103 and In re Crossman, access to an unpublished application may be granted upon petition showing special circumstances, such as when false claims about patent rights harm a business.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
Claims of infringement regarding an unpublished patent application can constitute special circumstances warranting access to that application.,True,"Per MPEP § 103 and In re Crossman, threats of enforcement of patent rights from an unpublished application can constitute special circumstances justifying access to evaluate such claims.",2100 - Patentability
"Once a Notice of Allowance is issued, an application becomes publicly available regardless of whether it has been previously published.",False,"Per MPEP § 1.14 and 35 USC § 122, an unpublished application remains confidential even after allowance until it either publishes or issues as a patent.",0400 - Representative of Applicant or Owner
A third party being accused of infringing an unpublished application has no legal recourse until the patent issues.,False,"Per MPEP § 103 and various court decisions, legal remedies may include petitioning for access to the application or pursuing claims for unfair competition or business disparagement.",2100 - Patentability
The fact that an applicant has told others that their patent application will issue in three months means the issue fee has been paid.,False,"Per 37 CFR § 1.311, payment of the issue fee does not guarantee issuance in any specific timeframe, and such statements about future issuance are merely predictions, not evidence of payment.",1300 - Allowance and Issue
"If competitors make false claims about pending patent rights to damage another's business, those damaged can petition for access to the application to verify these claims.",True,"Per MPEP § 103 and In re Crossman, this scenario represents the type of special circumstances that may justify granting access to otherwise confidential applications.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
Family relationships between parties (such as ex-spouses) are relevant factors in determining whether special access to unpublished applications should be granted.,False,"Per MPEP § 103, the relationship between parties is not a determining factor in granting special access; rather, the presence of special circumstances like false patent claims is what matters.",1000 - Matters Decided by Various U.S. Patent and Trademark Office Officials
"When someone claims to have a soon-to-issue patent that others will infringe, the proper first response is always to wait until the patent issues before taking any action.",False,"Per MPEP § 103 and In re Crossman, proactive measures such as petitioning for access to verify claims may be appropriate rather than waiting for potential business damage to accumulate.",2100 - Patentability
A Notice of Allowance automatically makes a patent application publicly accessible even if it was not previously published.,False,"Per 37 CFR § 1.14 and MPEP § 103, an unpublished application remains confidential even after a Notice of Allowance is issued, until either publication or issuance.",0400 - Representative of Applicant or Owner
"The 30-month deadline for U.S. national phase entry of a PCT application is calculated from the international filing date, not the priority date.","False","Per 37 CFR § 1.495(b) and MPEP § 1893.01(a), the 30-month period for entering the U.S. national phase is calculated from the priority date (earliest filing date for which priority is claimed), not the international filing date.",1800 - Patent Cooperation Treaty
"Filing a Demand for International Preliminary Examination automatically extends the deadline for entering the U.S. national phase from 20 months to 30 months from the priority date.","False","Per MPEP § 1893.01(a), for all international applications, the U.S. national stage entry deadline is 30 months from the priority date regardless of whether a Demand is filed. The Demand no longer affects the U.S. entry deadline.",1800 - Patent Cooperation Treaty
"If an international application designates the United States but does not claim priority to an earlier application, the 30-month deadline for national phase entry is calculated from the international filing date.","True","Per MPEP § 1893.01(a), when there is no priority claim, the 30-month period is calculated from the international filing date, which effectively becomes the priority date.",1800 - Patent Cooperation Treaty
"The communication of the international application to the USPTO under PCT Article 20 automatically initiates U.S. national phase processing.","False","Per MPEP § 1893.01(a), the communication of the international application under PCT Article 20 does not initiate national stage processing; the applicant must expressly request national stage entry and pay the required fees.",1800 - Patent Cooperation Treaty
"An applicant who misses the 30-month deadline for U.S. national phase entry has no recourse and the application is irretrievably abandoned with respect to the United States.","False","Per MPEP § 1893.01(a)(2), an applicant who misses the 30-month deadline may file a continuing application under 35 USC § 111(a) claiming benefit to the international application under 35 USC § 365(c).",1800 - Patent Cooperation Treaty
"A petition for revival can be used to enter the U.S. national phase after the 30-month deadline if the delay was unintentional.","True","Per MPEP § 1893.01(a)(2), a petition to revive under 37 CFR § 1.137 may be used to enter the national stage after the 30-month period if the delay was unintentional or unavoidable.",1800 - Patent Cooperation Treaty
"The basic national fee must be paid at the time of entering the U.S. national phase to avoid abandonment.","True","Per 37 CFR § 1.495(b) and MPEP § 1893.01(a), payment of the basic national fee is required to initiate U.S. national stage processing and avoid abandonment.",1800 - Patent Cooperation Treaty
"Filing a Demand for International Preliminary Examination affects which specific MPEP sections and patent laws apply to the U.S. national stage application.","True","Per MPEP § 1893.03(a), when a Demand is filed and the U.S. is elected, the national stage commences under 35 USC § 371(f), whereas without a Demand, it commences under 35 USC § 371(b).",1800 - Patent Cooperation Treaty
"If an international application was filed on November 14, 2014, claiming priority to an application filed on November 15, 2013, the 30-month deadline for U.S. national phase entry would be May 15, 2016.","True","Per 37 CFR § 1.495(b) and MPEP § 1893.01(a), the deadline is calculated as 30 months from November 15, 2013, which is May 15, 2016.",1800 - Patent Cooperation Treaty
"The specific act of filing a Demand for International Preliminary Examination, without any other action, preserves the applicant's rights in the United States beyond the 30-month deadline.","False","Per MPEP § 1893.01(a), filing a Demand does not extend the 30-month deadline for U.S. national phase entry; explicit entry into the U.S. national phase is required by the deadline.",1800 - Patent Cooperation Treaty
"When calculating the 30-month national phase entry deadline, if the 30-month date falls on a Saturday, Sunday, or federal holiday in the United States, the deadline extends to the next business day.","True","Per MPEP § 1893.01(a)(1) and 35 USC § 21, if the 30-month date falls on a weekend or federal holiday, the period extends to the next business day.",1800 - Patent Cooperation Treaty
"The expiration of the 30-month period for entering the U.S. national stage is calculated from the priority date regardless of whether priority is perfected during the international phase.","True","Per MPEP § 1893.01(a), the 30-month period is calculated from the claimed priority date even if the requirements to perfect the priority claim in the international phase were not met.",1800 - Patent Cooperation Treaty
"An international application can enter the U.S. national phase earlier than the 30-month deadline if the applicant expressly requests early national stage entry.","True","Per MPEP § 1893.01(a) and 37 CFR § 1.495, an applicant may expressly request national stage entry prior to the 30-month deadline by filing the appropriate documentation and fees.",1800 - Patent Cooperation Treaty
"If an international application was filed on November 14, 2014, claiming priority to an application filed on November 15, 2013, and the applicant filed a Demand on June 12, 2015, the last date to enter the U.S. national phase without requiring a petition would be November 14, 2016.","False","Per MPEP § 1893.01(a), the filing of a Demand does not extend the U.S. national stage entry deadline beyond 30 months from the priority date (May 15, 2016).",1800 - Patent Cooperation Treaty
"The effect of an Article 20 communication of an international application to the USPTO is that the application will be automatically considered for U.S. national stage entry upon expiration of the 30-month period.","False","Per MPEP § 1893.01(a), even if the application is communicated to the USPTO under Article 20, the applicant must expressly enter the national stage by paying the basic national fee and filing required documents.",1800 - Patent Cooperation Treaty
"To enter the U.S. national stage of a PCT application before the 30-month deadline, an applicant must file a proper request identifying the international application and make provisions for payment of the national filing fee.","True","Per 37 CFR § 1.495(b)(2), a request identifying the international application and providing for payment of the basic national fee is the minimum requirement for national stage entry.",1800 - Patent Cooperation Treaty
"Requesting that the International Bureau forward necessary papers to the USPTO is sufficient to enter the U.S. national stage of a PCT application.","False","Per 37 CFR § 1.495, the applicant must actively file a request with the USPTO to enter the national stage; the International Bureau forwarding documents does not constitute proper national stage entry.",1800 - Patent Cooperation Treaty
"Filing only an oath or declaration is sufficient to enter the U.S. national stage of a PCT application prior to the 30-month deadline.","False","Per 37 CFR § 1.495(b), payment of the basic national fee and a request identifying the international application are required; filing only an oath/declaration is insufficient.",1800 - Patent Cooperation Treaty
"Requesting that the USPTO send a bill for the national stage filing fee constitutes proper national stage entry if filed before the 30-month deadline.","False","Per 37 CFR § 1.495(b), the applicant must make actual provisions for payment (such as authorizing a deposit account charge) rather than merely requesting a bill.",1800 - Patent Cooperation Treaty
"For PCT applications, the effective prior art date under pre-AIA 35 USC § 102(e) is the date on which the requirements of 35 USC § 371(c)(1), (2), and (4) are fulfilled.","True","Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date for a PCT application that becomes a U.S. patent is when the requirements of § 371(c)(1), (2), and (4) are met.",1800 - Patent Cooperation Treaty
"For a PCT application to serve as prior art under pre-AIA 35 USC § 102(e), the international filing date is always the effective prior art date.","False","Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not automatically the international filing date.",1800 - Patent Cooperation Treaty
"If a PCT application is published and later issues as a U.S. patent, the publication date becomes the effective prior art date under pre-AIA 35 USC § 102(e).","False","Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not the publication date.",1800 - Patent Cooperation Treaty
"The requirements of 35 USC § 371(c)(1), (2), and (4) include submitting a copy of the international application, an English translation if not in English, and an oath or declaration of the inventor.","True","Per 35 USC § 371(c), these specific requirements are (1) a copy of the international application, (2) a translation if not in English, and (4) an oath or declaration of the inventor.",1800 - Patent Cooperation Treaty
"To obtain an international filing date under the PCT, an application must include the name of the inventor.","False","Per PCT Article 11(1)(iii)(c) and PCT Rule 4.1(a)(iv), the application need only include the name of the applicant, not necessarily the inventor, to receive an international filing date.",1800 - Patent Cooperation Treaty
"Designation of at least one PCT contracting state is required to obtain an international filing date for a PCT application.","True","Per PCT Article 11(1)(iii)(b), designation of at least one contracting state is required to obtain an international filing date.",1800 - Patent Cooperation Treaty
"An application filed under the PCT must include at least one claim to receive an international filing date.","False","Per PCT Article 11(1)(iii)(e), the application must include 'a part which on the face of it appears to be a claim or claims,' not necessarily a complete claim that meets all formal requirements.",1800 - Patent Cooperation Treaty
"The language requirement for obtaining an international filing date for a PCT application depends on the receiving office where the application is filed.","True","Per PCT Article 11(1)(ii) and PCT Rule 12, the application must be in a language accepted by the receiving office to obtain an international filing date.",1800 - Patent Cooperation Treaty
"When entering the U.S. national stage, an applicant may defer submission of the oath or declaration until after the 30-month deadline if the basic national fee is paid before the deadline.","True","Per 37 CFR § 1.495(c) and MPEP § 1893.01(e), the oath or declaration may be submitted after the 30-month period, provided the basic national fee was timely paid.",1800 - Patent Cooperation Treaty
"If a PCT application enters the U.S. national stage and issues as a patent, the patent is effective as prior art under pre-AIA 35 USC § 102(e) as of the issue date of the patent.","False","Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not the issue date.",1800 - Patent Cooperation Treaty
"An explicit statement that the application is intended to be an international application is required to secure an international filing date under the PCT.","True","Per PCT Article 11(1)(i), an express indication that the application is intended to be an international application is required for an international filing date.",1800 - Patent Cooperation Treaty
"If an applicant submits a translation of a PCT application in response to a Notice of Missing Requirements after entering the U.S. national stage, the effective prior art date under pre-AIA 35 USC § 102(e) becomes the date the translation was submitted.","True","Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, if a required translation was submitted in response to a notice, the effective prior art date is established on the date the translation requirement was fulfilled.",1800 - Patent Cooperation Treaty
"For a PCT application filed in the USPTO, at least one applicant must be a U.S. national or legal resident.","True","Per PCT Rule 19.1 and MPEP § 1810, the USPTO can only act as a receiving office for PCT applications if at least one applicant is a U.S. citizen or resident. If no applicant meets this requirement, the application must be filed with another competent receiving office or the International Bureau.",1800 - Patent Cooperation Treaty
"When filing a PCT application at the USPTO, the abstract must be submitted at the time of filing to receive an international filing date.","False","Per PCT Article 11, the abstract is not among the elements required for obtaining an international filing date. Required elements include: an indication that the application is intended as an international application, designation of at least one contracting state, identification of the applicant, a description, and at least one claim. The abstract can be submitted later without affecting the international filing date.",1800 - Patent Cooperation Treaty
